player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points,now_cost,selected_by_percent
90,1611046,Markus,Johnsgård,Johnsgård,,5,63,HamKam,HAM,3,MID,a,,634,2,1,1,11,0,0,0,1,0,0,0,0.000000,34,50,0.1
91,1822858,William,Osnes-Ringen,Osnes-Ringen,,5,63,HamKam,HAM,3,MID,a,,363,0,0,0,7,0,0,0,1,0,0,0,0.000000,13,48,0.1
92,1701180,Aksel,Potur,Potur,,5,63,HamKam,HAM,3,MID,d,Hel - 25 % sjanse for å spille,1410,4,3,3,27,0,0,0,1,0,0,13,0.000000,78,54,7.5
93,1596168,Gard,Simenstad,Simenstad,,5,63,HamKam,HAM,3,MID,u,Overgang til Odd,147,0,0,0,7,0,0,0,1,0,0,0,0.000000,4,46,0.2
94,2050551,Peter,Sunday,Sunday,,5,63,HamKam,HAM,2,DEF,u,Lån avsluttet,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.5
95,3366022,Mats,Pedersen,Pedersen,,5,63,HamKam,HAM,3,MID,u,På lån til FF Jaro,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,45,0.0
96,1750276,Sander,Kaldråstøyl Østraat,Østraat,,5,63,HamKam,HAM,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,39,0.6
97,1842637,Ethan,Amundsen-Day,Amundsen-Day,,5,63,HamKam,HAM,2,DEF,a,,1530,1,0,4,31,0,0,0,1,0,0,3,0.000000,46,45,1.5
98,1890258,Markus,Østerud,Østerud,,5,63,HamKam,HAM,4,FWD,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,44,0.9
99,1849325,Eron,Gojani,Gojani,,5,63,HamKam,HAM,3,MID,u,På lån til GIF Sundsvall,15,0,0,0,2,0,0,0,0,0,0,0,0.000000,1,49,0.0
100,7544,Henrik,Udahl,Udahl,,5,63,HamKam,HAM,4,FWD,a,,1248,5,0,3,24,0,0,0,0,0,0,8,0.000000,59,56,22.5
101,1930255,Noah,Alexandersson,Alexandersson,,5,63,HamKam,HAM,3,MID,u,På lån til Moss,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,50,0.0
102,1756035,Martin,Gjone,Gjone,,5,63,HamKam,HAM,2,DEF,s,Suspendert - Forventet tilbake 13. september,1342,3,4,4,26,1,0,0,2,1,0,9,0.000000,70,49,6.3
103,1970431,Ian,Hoffmann,Hoffmann,,5,63,HamKam,HAM,2,DEF,u,Lån avsluttet,599,0,0,2,14,0,0,0,2,0,0,0,0.000000,15,48,0.2
104,1972335,Loris,Mettler,Mettler,,5,63,HamKam,HAM,3,MID,a,,464,1,2,1,7,0,0,0,0,0,0,0,0.000000,24,57,0.5
105,1859886,Alan,Cole,Cole,,5,63,HamKam,HAM,4,FWD,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,44,4.0
106,1713289,Brage,Skaret,Skaret,,6,306,KFUM Oslo,KFUM,2,DEF,a,,777,0,3,2,15,0,0,0,2,0,0,0,0.000000,26,44,0.0
107,298848,Ayoub,Aleesami,Aleesami,,6,306,KFUM Oslo,KFUM,2,DEF,i,Lyske - Ute på ubestemt tid,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,45,0.2
108,3106187,Mohammed Hopsdal,Abbas,Abbas,,6,306,KFUM Oslo,KFUM,2,DEF,u,Overgang til Eik Tønsberg,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.0
109,72830,Fredrik,Berglie,Berglie,,6,306,KFUM Oslo,KFUM,2,DEF,a,,889,0,0,3,18,0,0,0,1,1,0,10,0.000000,31,44,0.7
110,1570586,David,Hickson,Hickson,,6,306,KFUM Oslo,KFUM,3,MID,a,,350,0,1,2,7,0,0,0,2,0,0,1,0.000000,16,53,0.9
111,1654120,Jonas,Lange Hjorth,Hjorth,,6,306,KFUM Oslo,KFUM,2,DEF,a,,946,0,3,2,19,0,0,0,1,0,0,0,0.000000,32,48,1.0
112,1560546,Håkon,Hoseth,Hoseth,,6,306,KFUM Oslo,KFUM,2,DEF,a,,1083,2,2,6,16,1,0,0,1,0,0,3,0.000000,63,46,8.2
113,44085,Amin,Nouri,Nouri,,6,306,KFUM Oslo,KFUM,2,DEF,a,,92,0,0,0,2,0,0,0,0,0,0,0,0.000000,6,40,10.4
114,1690044,Momodou,Lion Njie,Lion Njie,,6,306,KFUM Oslo,KFUM,2,DEF,u,På lån til Moss,177,0,0,0,3,0,0,0,1,1,0,0,0.000000,1,39,1.5
115,1616887,Emil,Ødegaard,Ødegaard,,6,306,KFUM Oslo,KFUM,1,GK,a,,720,0,0,3,10,0,0,0,0,0,24,1,0.000000,29,46,2.0
116,1637491,Teodor,Berg Haltvik,Haltvik,,6,306,KFUM Oslo,KFUM,3,MID,u,Overgang til Sønderjyske,536,4,0,3,9,0,0,0,0,0,0,3,0.000000,42,48,5.9
117,191505,Simen,Hestnes,Hestnes,,6,306,KFUM Oslo,KFUM,3,MID,u,Overgang til Häcken,926,1,1,3,17,1,0,0,0,0,0,5,0.000000,35,58,2.2
118,1704160,Bjørn Martin,Kristensen,Kristensen,,6,306,KFUM Oslo,KFUM,4,FWD,a,,605,1,0,1,16,0,0,0,1,0,0,0,0.000000,24,50,2.7
119,42914,Moussa,Njie,M. Njie,,6,306,KFUM Oslo,KFUM,3,MID,u,På lån til Moss,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,49,0.1
120,191139,Robin,Rasch,Rasch,,6,306,KFUM Oslo,KFUM,3,MID,d,Smell - 50 % sjanse for å spille,954,0,2,3,14,0,0,0,2,0,0,0,0.000000,32,48,0.3
121,1631352,Mansour,Sinyan,Sinyan,,6,306,KFUM Oslo,KFUM,3,MID,u,På lån til KI Klaksvik,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,45,0.0
122,1708342,Daniel,Schneider,Schneider,,6,306,KFUM Oslo,KFUM,2,DEF,s,Suspendert - Tilbake 13. september,1581,1,0,5,31,0,0,0,3,1,0,6,0.000000,48,46,1.0
123,1588161,Bilal,Elmi Njie,Elmi Njie,,6,306,KFUM Oslo,KFUM,3,MID,a,,874,4,0,3,14,0,0,0,1,0,0,7,0.000000,52,54,0.2
124,1572189,Eirik,Saunes,Saunes,,6,306,KFUM Oslo,KFUM,2,DEF,a,,1271,0,0,4,24,0,0,0,3,0,0,2,0.000000,34,43,1.6
125,1787113,Mostafa,Najafzadeh,Najafzadeh,,6,306,KFUM Oslo,KFUM,3,MID,a,,2,0,0,0,0,0,0,0,0,0,0,0,0.000000,1,44,0.1
126,1946555,Marko,Vuckovic,Vuckovic,,6,306,KFUM Oslo,KFUM,3,MID,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,44,0.1
127,1634666,Sander,Sjökvist,Sjökvist,,6,306,KFUM Oslo,KFUM,2,DEF,a,,869,0,2,1,26,0,0,0,1,1,0,1,0.000000,19,47,2.1
128,1658958,Rasmus,Eggen Vinge,Eggen Vinge,,6,306,KFUM Oslo,KFUM,3,MID,a,,862,3,0,3,15,0,0,0,2,0,0,2,0.000000,42,53,1.1
